n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_time;mq_swap;mq_comp;mq_time
1700;5097;1444150;3100800;720676;720667;982400;50328;31345;205300;42591;23087;102100;32184;20708;115100
1700;5097;1444150;3089900;719352;719345;989600;50292;31322;211300;34251;20118;97800;27384;18953;109800
1700;5097;1444150;3074900;712588;712585;968300;50406;31378;204600;34377;20598;100600;24936;19322;109900
1700;5097;1444150;3079500;712758;712746;988500;50340;31320;205800;30048;18573;100100;27672;19129;111200
1700;5097;1444150;3107300;725119;725113;987900;50289;31328;205400;33885;24431;102900;25271;18572;113100
1700;5097;1444150;3083200;730143;730135;996200;50271;31265;206600;33498;20025;103300;26909;18912;112500
1700;5097;1444150;3080800;749687;749679;1025500;50229;31301;205100;32607;20822;100600;24093;20422;110200
1700;5097;1444150;3099100;711948;711937;971500;50370;31333;205000;36867;21515;102600;28049;18968;110000
1800;5397;1619100;3611400;818930;818922;1491300;53670;33474;324000;34578;21463;144300;29049;20167;160300
1800;5397;1619100;3654400;820359;820354;1837900;53709;33479;300600;30639;21271;149200;29329;20188;167700
1800;5397;1619100;3764600;807514;807507;1254700;53688;33390;217800;34059;20349;107200;33952;21285;129900
1800;5397;1619100;3487600;801780;801776;2649400;53766;33442;300400;37488;21383;144000;31252;20812;161300
1800;5397;1619100;3480400;814797;814791;1348300;53673;33439;217100;35061;20610;106600;29558;20177;118300
1800;5397;1619100;3691300;805242;805235;1537400;53760;33531;236400;38730;21521;107700;30835;20116;116600
1800;5397;1619100;3455900;803502;803492;1097300;53622;33404;232500;36084;21820;127300;29883;20407;116200
1800;5397;1619100;3471900;801316;801307;1100200;53664;33415;219600;37677;22097;107800;29208;20725;116400
1800;5397;1619100;3467200;805576;805568;1123600;53628;33404;216500;32010;22426;104100;27224;20570;124900
1800;5397;1619100;3491200;820306;820299;1462000;53652;33455;310800;40410;22697;149400;28037;19652;133800
1900;5697;1804050;3960600;887803;887798;1609600;57141;35565;240100;36222;21635;122300;30202;21434;131200
1900;5697;1804050;3934200;900607;900604;2036400;57087;35564;333600;39162;23999;164600;28620;21517;172900
1900;5697;1804050;4080700;909891;909885;2056500;57075;35563;340300;38691;24007;167600;29350;22551;169100
1900;5697;1804050;3986300;883465;883458;1219000;57039;35539;238300;43188;23373;115700;31222;21703;127200
1900;5697;1804050;3885100;889575;889568;1220600;57003;35571;231400;34389;22267;111800;28459;21448;132900
1900;5697;1804050;3870700;903459;903447;1245600;57135;35595;232100;39423;23725;115200;29800;21098;133300
1900;5697;1804050;3865500;895261;895251;1229900;57039;35560;232000;42846;24790;113200;30160;21186;126200
1900;5697;1804050;3891100;894644;894633;1230200;57198;35593;231900;40656;23404;118400;30756;22576;128800
1900;5697;1804050;3892800;898993;898989;1224400;57093;35575;230900;39039;22890;126900;28631;21275;128700
1900;5697;1804050;3898100;909669;909661;1252700;57183;35585;232800;40050;23256;113400;33569;21802;143300
2000;5997;1999000;4291500;997896;997889;1376800;60534;37727;254600;38856;25108;121700;31977;24011;137600
2000;5997;1999000;4261600;1015436;1015427;1387400;60312;37615;245300;39969;25621;117400;35523;23813;134200
2000;5997;1999000;4277800;990477;990465;1367100;60429;37678;245400;44283;23920;130800;37550;22973;140700
2000;5997;1999000;4369100;1009777;1009769;1372100;60687;37780;247200;35631;24796;118700;28550;22293;132200
2000;5997;1999000;4296800;1027474;1027467;1394200;60642;37760;244800;38217;23365;118600;33750;22388;136600
2000;5997;1999000;4272200;986911;986904;1337100;60543;37750;245600;43926;26558;119500;35718;24115;135000
2000;5997;1999000;4255500;1027817;1027807;1391400;60453;37691;251000;44163;25365;119000;29247;22569;131400
2000;5997;1999000;4400000;999768;999764;1358200;60468;37755;248900;35829;22974;120000;30025;22892;135700
2000;5997;1999000;4262500;1002952;1002947;1356000;60270;37608;243600;38817;23164;118300;32573;22462;134900
2000;5997;1999000;4277900;1005638;1005628;1382600;60468;37706;242500;46161;24839;120900;34959;22871;136400
2100;6297;2203950;4715300;1100661;1100649;1507300;63921;39873;261300;54498;29269;130200;32625;24725;143300
2100;6297;2203950;4723300;1117694;1117684;2097800;63912;39859;308400;44652;28125;126900;35726;24964;139700
2100;6297;2203950;5486800;1107711;1107702;1826900;63999;39904;260200;41961;28331;124400;36683;24573;144000
2100;6297;2203950;4715000;1093089;1093082;1481500;64005;39866;258500;40158;24962;127300;40046;25405;140500
2100;6297;2203950;4758400;1111753;1111747;1609200;64059;39948;257900;40194;24509;128700;31531;23141;148500
