n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_timemq_swap;mq_comp;mq_time
2000;1999;1999000;4155800;987233;989223;1352200;20134;37664;244400;15456;25759;123200;13214;22656;134700
2000;1999;1999000;4451100;1002312;1004304;1430300;20161;37682;275100;13627;24490;126300;14001;23164;135900
2000;1999;1999000;4159800;960018;962002;1327200;20193;37762;247500;14985;25010;122300;14198;23641;137200
2000;1999;1999000;4321800;974643;976631;1341000;20176;37720;245300;13235;23688;118400;13415;23161;135700
2000;1999;1999000;4218200;996243;998233;1365900;20150;37718;247500;13600;27767;133200;14212;26775;134700
2000;1999;1999000;4338700;996611;998602;1360900;20154;37724;248900;14493;25472;120000;13633;22978;138300
2000;1999;1999000;4174300;999726;1001715;1386100;20137;37681;256700;13467;24358;132700;13077;23271;143700
2000;1999;1999000;4180700;1008455;1010450;1373600;20176;37715;251900;12723;22673;118900;13009;22930;133500
2100;2099;2203950;4734100;1120655;1122747;1526100;21324;39922;259400;14371;26963;128300;14070;24797;195900
2100;2099;2203950;4639900;1089256;1091344;1512800;21361;39964;269300;15103;25090;128600;15211;23979;143300
2100;2099;2203950;4597000;1112961;1115055;1752200;21240;39816;266500;15752;26409;139700;14032;24140;157700
2100;2099;2203950;4588600;1098765;1100859;1535000;21290;39854;278900;16314;26696;128000;12610;24301;136200
2100;2099;2203950;4843700;1119555;1121645;2430500;21318;39847;391400;15387;26540;186100;15030;25330;209900
2100;2099;2203950;4790000;1113153;1115244;2660300;21280;39901;312800;14130;25671;124500;13351;24067;146300
2100;2099;2203950;4609400;1091221;1093311;1486800;21330;39865;263100;14137;28717;126500;13885;24209;145500
2100;2099;2203950;4780400;1104336;1106430;1609400;21317;39837;272800;13059;24553;134700;13559;23721;153300
2100;2099;2203950;4620900;1100894;1102987;1513300;21359;39941;258500;13954;27116;126200;13877;23999;142300
2100;2099;2203950;4576600;1073034;1075125;1461200;21337;39913;259100;12562;25646;124400;13638;24522;140300
2200;2199;2418900;5030500;1207979;1210171;1647200;22494;42066;273500;13515;27753;130900;14193;26086;148300
2200;2199;2418900;5004600;1203973;1206165;1651100;22500;42102;272500;16019;26636;136100;14213;24610;149300
2200;2199;2418900;5002800;1197742;1199929;1652900;22491;42066;284700;14305;26525;130100;15795;25675;150200
2200;2199;2418900;5069900;1220891;1223083;1654800;22466;42049;273500;16738;27207;132500;13859;25042;146800
2200;2199;2418900;5018800;1221722;1223914;1681300;22517;42124;273900;15026;28652;131900;15498;25876;151200
2200;2199;2418900;5004100;1220158;1222340;1655800;22505;42121;272500;15570;27984;133400;14820;25495;147900
2200;2199;2418900;5040000;1239365;1241558;1681800;22424;42004;274200;15137;30470;136500;15118;25526;149500
