k;i;maxMatch;time
4;1;10;2100
4;1;8;2300
4;1;10;2300
4;1;10;2000
4;1;9;2100
4;1;8;2400
4;1;9;2300
4;1;10;2100
4;1;10;2500
4;1;9;2600
4;1;10;2300
4;1;10;2100
4;1;9;2200
4;1;10;1900
4;1;10;2400
4;1;11;2600
4;1;9;2600
4;1;11;2100
4;1;8;12600
4;1;9;2700
4;1;8;2500
4;1;9;2400
4;1;9;2400
4;1;10;2400
4;1;10;2300
4;1;11;2400
4;1;7;2200
4;1;9;2300
4;1;9;2100
4;1;8;4000
4;1;10;4000
4;1;10;4200
4;1;7;4100
4;1;8;6000
4;1;9;4300
4;1;10;3900
4;1;9;6000
4;1;9;6000
4;1;10;5800
4;1;9;6100
4;1;9;6100
4;1;8;4300
4;1;8;4000
4;1;7;4100
4;1;9;2500
4;1;9;2600
4;1;9;4500
4;1;8;1900
4;1;9;2300
4;1;9;2500
4;1;10;2100
4;1;10;2300
4;1;11;2200
4;1;10;2200
4;1;9;2200
4;1;9;2500
4;1;11;2300
4;1;9;2400
4;1;8;2800
4;1;11;2500
4;1;9;2300
4;1;8;2300
4;1;7;2700
4;1;9;2400
4;1;10;2400
4;1;7;2600
4;1;7;2600
4;1;10;2600
4;1;9;2500
4;1;8;2400
4;1;8;2500
4;1;9;2400
4;1;10;2400
4;1;7;2400
4;1;8;2800
4;1;9;4600
4;1;10;2600
4;1;11;2600
4;1;8;2200
4;1;10;2600
4;1;9;2500
4;1;7;2700
4;1;11;2000
4;1;11;2500
4;1;8;2500
4;1;10;2500
4;1;8;4300
4;1;9;4300
4;1;7;3800
4;1;11;5100
4;1;9;4200
4;1;10;4500
4;1;11;4200
4;1;7;4400
4;1;10;4200
4;1;9;4400
4;1;9;4700
4;1;9;4600
4;1;11;4400
4;1;11;4000
4;1;10;4100
4;1;8;2300
4;1;9;2700
4;1;12;5300
4;1;11;2300
4;1;11;2200
4;1;8;2400
4;1;11;2300
4;1;10;2500
4;1;8;4000
4;1;10;2600
4;1;12;2700
4;1;8;2800
4;1;10;2500
4;1;10;3000
4;1;9;2500
4;1;10;2700
4;1;9;2200
4;1;11;2400
4;1;8;2400
4;1;11;2300
4;1;9;2700
4;1;10;2100
4;1;9;2200
4;1;8;2500
4;1;7;2500
4;1;10;2700
4;1;9;2700
4;1;13;2500
4;1;10;2200
4;1;9;2200
4;1;10;2200
4;1;8;4400
4;1;9;2000
4;1;11;2100
4;1;10;2200
4;1;9;3200
4;1;10;2500
4;1;8;2400
4;1;8;2600
4;1;12;1900
4;1;8;2800
4;1;10;2300
4;1;10;2100
4;1;9;2700
4;1;6;2500
4;1;9;1800
4;1;8;2800
4;1;8;2500
4;1;10;2300
4;1;10;1700
4;1;10;1400
4;1;7;2100
4;1;8;2800
4;1;8;2300
4;1;11;2500
4;1;8;2200
4;1;11;2000
4;1;10;3000
4;1;10;2700
4;1;7;6100
4;1;9;2400
4;1;9;2200
4;1;9;2400
4;1;10;2300
4;1;8;2500
4;1;11;2100
4;1;7;2400
4;1;9;2300
4;1;9;2300
4;1;9;2300
4;1;11;2500
4;1;7;2300
4;1;12;2500
4;1;9;3900
4;1;10;3600
4;1;9;4300
4;1;9;3500
4;1;9;3700
4;1;10;5800
4;1;11;6300
4;1;9;4500
4;1;10;4100
4;1;10;4900
4;1;8;4100
4;1;8;4900
4;1;10;4200
4;1;10;4600
4;1;10;70500
4;1;10;2300
4;1;11;2500
4;1;9;1900
4;1;10;2300
4;1;9;2200
4;1;9;2200
4;1;10;2100
4;1;9;2600
4;1;8;2400
4;1;10;1900
4;1;11;2300
4;1;7;2100
4;1;9;2400
4;1;8;2200
4;1;10;2500
4;1;8;2500
4;1;10;2200
4;1;10;2400
4;1;7;2100
4;1;9;2100
4;1;8;1800
4;1;8;2200
4;1;10;2300
4;1;11;2200
4;1;10;2000
4;1;10;2400
4;1;9;2200
4;1;10;2100
4;1;10;55800
4;1;10;2200
4;1;10;2400
4;1;12;2100
4;1;11;2000
4;1;8;2100
4;1;11;2100
4;1;11;2000
4;1;9;2100
4;1;7;2200
4;1;10;1800
4;1;10;1800
4;1;9;2400
4;1;10;2300
4;1;8;3800
4;1;8;6100
4;1;9;3800
4;1;9;3800
4;1;10;3700
4;1;9;4100
4;1;11;3900
4;1;9;4400
4;1;8;3900
4;1;8;4200
4;1;10;4000
4;1;9;5800
4;1;11;3900
4;1;11;3900
4;1;10;49700
4;1;11;2500
4;1;7;2300
4;1;8;2300
4;1;10;2600
4;1;10;2500
4;1;7;2400
4;1;12;2200
4;1;10;2200
4;1;8;1800
4;1;10;2400
4;1;10;2400
4;1;9;2900
4;1;8;2500
4;1;10;1900
4;1;8;1900
4;1;8;1900
4;1;10;2300
4;1;9;2400
4;1;7;1700
4;1;10;2500
4;1;10;2400
4;1;10;2400
4;1;8;2000
4;1;10;2400
4;1;11;2300
4;1;9;2400
4;1;10;2300
4;1;9;2400
4;1;10;58500
4;1;8;2700
4;1;11;2300
4;1;8;2500
4;1;10;2500
4;1;11;1800
4;1;10;2200
4;1;8;2400
4;1;7;2600
4;1;9;2500
4;1;10;3700
4;1;10;2700
4;1;11;2400
4;1;10;2800
4;1;9;2400
4;1;10;2200
4;1;8;3000
4;1;9;2800
4;1;8;2600
4;1;10;2800
4;1;7;2800
4;1;9;2300
4;1;10;2600
4;1;11;2200
4;1;9;2600
4;1;11;2800
4;1;7;2200
4;1;10;2400
4;1;8;59900
4;1;10;2100
4;1;9;2600
4;1;9;2100
4;1;11;2700
